epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789637903	27.22	47	0	210	0x0000000000000001	16	56492764	8388604	4739580
1789637905	32.92	46	0	210	0x0000000000000001	19	55963080	8388604	4739580
1789637908	116.46	48	0	1695	0x0000000000000000	1668	53226480	8388604	4739580
1789637910	118.48	48	8	1695	0x0000000000000000	2730	50481280	8388604	4739580
1789637912	117.63	49	0	1695	0x0000000000000000	4440	48358260	8388604	4739580
1789637914	118.65	48	5	1695	0x0000000000000000	5784	45894692	8388604	4739580
1789637916	118.57	48	5	1695	0x0000000000000000	7308	42869436	8388604	4739580
1789637918	124.29	48	14	1695	0x0000000000000000	9676	41106908	8388604	4739580
1789637920	120.45	47	7	1695	0x0000000000000000	11704	39141180	8388604	4739580
1789637922	121.88	47	7	1695	0x0000000000000000	13752	36129180	8388604	4739580
1789637924	120.12	47	6	1695	0x0000000000000000	15920	34078092	8388604	4739580
1789637926	117.73	47	0	1695	0x0000000000000000	17262	32068684	8388604	4739580
1789637928	117.88	47	8	1695	0x0000000000000000	19048	29827040	8388604	4739580
1789637930	117.81	46	0	1695	0x0000000000000000	19828	28172604	8388604	4739580
1789637932	113.63	46	0	1695	0x0000000000000000	20272	27737580	8388604	4739580
1789637934	113.19	46	0	1695	0x0000000000000000	20292	26884740	8388604	4739580
1789637936	112.99	46	0	1695	0x0000000000000000	20292	26770380	8388604	4739580
1789637938	112.82	46	0	1695	0x0000000000000000	20292	26643160	8388604	4739580
1789637940	112.84	45	0	1695	0x0000000000000000	20292	26675336	8388604	4739580
1789637942	112.38	45	0	1695	0x0000000000000000	20292	26703216	8388604	4739580
1789637944	112.42	45	0	1695	0x0000000000000000	20292	26674252	8388604	4739580
1789637946	111.79	45	0	1695	0x0000000000000000	20292	26683020	8388604	4739580
1789637948	111.79	45	0	1695	0x0000000000000000	20292	26705148	8388604	4739580
1789637950	90.77	42	0	255	0x0000000000000001	20292	26637040	8388604	4739584
1789637952	23.26	42	0	210	0x0000000000000001	20292	26760748	8388604	4739584
1789637954	30.10	41	0	210	0x0000000000000001	20292	26770184	8388604	4739584
1789637956	21.72	40	0	210	0x0000000000000001	20292	26779388	8388604	4739584
1789637958	21.56	40	0	210	0x0000000000000001	20292	26755064	8388604	4739584
1789637960	23.21	40	0	210	0x0000000000000001	20292	26748076	8388604	4739584
1789637962	22.45	40	0	210	0x0000000000000001	20292	26515048	8388604	4739584
1789637964	21.58	39	0	210	0x0000000000000001	20292	26089628	8388604	4324936
1789637966	21.78	39	0	210	0x0000000000000001	20292	26689452	8388604	4739584
1789637968	29.96	39	0	210	0x0000000000000001	20292	26740608	8388604	4739584
1789637970	21.81	38	0	210	0x0000000000000001	20292	26677780	8388604	4739584
1789637972	21.76	38	0	210	0x0000000000000001	20292	26716184	8388604	4739584
1789637974	22.08	38	0	210	0x0000000000000001	20292	26734768	8388604	4739584
1789637976	22.67	38	0	210	0x0000000000000001	20292	26721444	8388604	4739584
1789637978	21.47	37	0	210	0x0000000000000001	20292	26687340	8388604	4739584
1789637980	21.60	37	0	210	0x0000000000000004	20292	26734504	8388604	4739584
1789637982	29.54	37	0	210	0x0000000000000001	20292	26754972	8388604	4739584
1789637984	21.67	36	0	210	0x0000000000000001	20292	26541196	8388604	4739584
1789637987	21.59	36	0	210	0x0000000000000001	20292	26704728	8388604	4739584
1789637989	21.42	36	0	210	0x0000000000000004	20292	26746856	8388604	4739584
1789637991	22.80	36	0	210	0x0000000000000001	20292	26667544	8388604	4739584
1789637993	21.44	35	0	210	0x0000000000000001	20292	26721308	8388604	4739612
1789637995	21.52	35	0	210	0x0000000000000001	20292	26792200	8388604	4739612
1789637997	28.96	35	0	210	0x0000000000000001	20292	26776724	8388604	4739612
1789637999	21.59	35	0	210	0x0000000000000001	20292	26696972	8388604	4739612
1789638001	21.34	35	0	210	0x0000000000000001	20292	26692256	8388604	4739612
